재　무　상　태　표
제 1(당) 기 　　　　년 　　월 　　일 현재
회사명 : 주식회사 블랙아웃	(단위 : 원)
과                        목	제 1(당) 기
자                     산
Ⅰ. 유     동     자     산	3,606,800
(1) 당  좌  자  산	3,606,800
1. 현금및현금성자산(주석3)	3,606,800
2. 매출채권	-
   대손충당금(주석5)	-
3. 미수금	-
4. 선급금	-
   대손충당금(주석5)	-
5. 선급비용	-
6. 당기법인세자산	-
7. 주임종단기대여금(주석12)	-
(2) 재  고  자 산(주석3)	-
1. 원재료	-
Ⅱ. 비   유   동   자   산	-
(1) 투자자산	-
1. 장기투자주식	-
2. 투자부동산(주석3,6)	-
    감가상각누계액	-
3. 장기금융상품	-
(2) 유형자산(주석3,7,17)	-
1. 건물	-
   감가상각누계액	-
2. 구축물	-
   감가상각누계액	-
3. 기계장치	-
   감가상각누계액	-
4. 차량운반구	-
  감가상각누계액	-
5. 비품	-
   감가상각누계액	-
6. 시설장치	-
   감가상각누계액	-
(3) 무형자산(주석3,8)	-
1. 소프트웨어	-
(4) 기타비유동자산	-
1. 임차보증금	-
자     산     총     계	3,606,800
부                     채
Ⅰ. 유     동     부     채	-
1. 매입채무(주석10)	-
2. 미지급금(주석10)	-
3. 예수금(주석10)	-
4. 부가세예수금(주석10)	-
5. 선수금	-
6. 당기법인세부채(주석3,10)	-
7. 미지급비용	-
Ⅱ. 비   유   동   부   채	-
1. 임대보증금(주석10,12)	-
2. 퇴직급여충당부채(주석3,11)	-
부     채     총     계	-
자                     본
Ⅰ. 자      본      금(주석1,3,13)	3,750,000
1. 보통주자본금	3,750,000
Ⅱ. 이  익  잉  여  금(주석13)	(143,200)
1. 미처리결손금	(143,200)
자     본     총     계	3,606,800
부  채  와  자  본  총  계	3,606,800
"첨부된 재무제표에 대한 주석은 본 재무제표의 일부입니다."
